instant,year,month,day,weekday,season,is_holiday,is_weekend,working,weather_code,t1,t2,hum,wind_speed,cnt,n_hours_observed
363,2016,1,1,Friday,3.0,1.0,0.0,0,1.0,6.5,3.7,82.5,16.7,9797,24
364,2016,1,2,Saturday,3.0,0.0,1.0,0,7.0,10.5,9.4,87.0,21.6,7195,24
365,2016,1,3,Sunday,3.0,0.0,1.0,0,7.0,8.6,6.4,83.5,16.2,4869,24
366,2016,1,4,Monday,3.0,0.0,0.0,1,2.0,8.9,7.0,82.6,12.5,20533,24
367,2016,1,5,Tuesday,3.0,0.0,0.0,1,2.0,9.0,7.9,85.7,8.4,22805,24
368,2016,1,6,Wednesday,3.0,0.0,0.0,1,3.0,7.0,6.0,90.3,6.5,23038,24
369,2016,1,7,Thursday,3.0,0.0,0.0,1,7.0,8.0,4.6,76.1,24.2,18083,24
370,2016,1,8,Friday,3.0,0.0,0.0,1,2.0,7.4,5.1,77.9,12.6,20762,24
371,2016,1,9,Saturday,3.0,0.0,1.0,0,7.0,9.7,8.1,81.3,18.0,11583,24
372,2016,1,10,Sunday,3.0,0.0,1.0,0,1.0,7.2,4.2,75.4,18.9,14320,24
373,2016,1,11,Monday,3.0,0.0,0.0,1,3.0,7.0,4.2,82.6,16.5,21092,24
374,2016,1,12,Tuesday,3.0,0.0,0.0,1,7.0,6.2,1.8,78.0,27.8,22799,24
375,2016,1,13,Wednesday,3.0,0.0,0.0,1,1.0,5.8,2.5,71.5,18.1,24586,24
376,2016,1,14,Thursday,3.0,0.0,0.0,1,2.0,4.5,-0.2,73.0,25.9,22186,24
377,2016,1,15,Friday,3.0,0.0,0.0,1,2.0,4.0,-0.3,70.0,21.4,22446,24
378,2016,1,16,Saturday,3.0,0.0,1.0,0,1.0,3.1,0.6,75.6,9.6,16091,24
379,2016,1,17,Sunday,3.0,0.0,1.0,0,26.0,3.0,0.8,80.3,9.1,11762,24
380,2016,1,18,Monday,3.0,0.0,0.0,1,2.0,2.9,0.1,75.4,11.4,22762,24
381,2016,1,19,Tuesday,3.0,0.0,0.0,1,1.0,1.3,1.0,68.5,2.8,23819,24
382,2016,1,20,Wednesday,3.0,0.0,0.0,1,1.0,1.6,0.4,77.4,5.4,23800,24
383,2016,1,21,Thursday,3.0,0.0,0.0,1,1.0,3.7,1.2,76.6,10.5,23378,24
384,2016,1,22,Friday,3.0,0.0,0.0,1,7.0,8.1,5.6,79.9,15.4,18328,24
385,2016,1,23,Saturday,3.0,0.0,1.0,0,7.0,8.7,6.7,83.7,13.7,17218,24
386,2016,1,24,Sunday,3.0,0.0,1.0,0,3.0,12.4,12.1,88.1,15.0,16360,24
387,2016,1,25,Monday,3.0,0.0,0.0,1,1.0,12.2,11.9,72.4,19.8,25724,24
388,2016,1,26,Tuesday,3.0,0.0,0.0,1,7.0,10.2,9.0,80.3,27.2,20224,24
389,2016,1,27,Wednesday,3.0,0.0,0.0,1,7.0,12.1,11.6,80.1,30.5,21708,24
390,2016,1,28,Thursday,3.0,0.0,0.0,1,1.0,7.9,4.6,65.6,22.3,25324,24
391,2016,1,29,Friday,3.0,0.0,0.0,1,3.0,11.8,11.6,77.9,33.8,22526,24
392,2016,1,30,Saturday,3.0,0.0,1.0,0,7.0,8.3,5.1,67.9,27.0,16381,24
393,2016,1,31,Sunday,3.0,0.0,1.0,0,7.0,10.0,8.8,79.2,22.5,11019,24
394,2016,2,1,Monday,3.0,0.0,0.0,1,3.0,12.8,12.6,68.1,34.9,23606,24
395,2016,2,2,Tuesday,3.0,0.0,0.0,1,2.0,9.0,5.3,61.2,30.1,24514,24
396,2016,2,3,Wednesday,3.0,0.0,0.0,1,3.0,6.2,2.5,68.2,22.1,24436,24
